Condition,ICD10,ICD10QF,SMRType,FinancialYear,CA2011,CA2011QF,EASRStays,EASRPatients,EASRNewPatients,EASRNewPatientsQF,NumberOfStays,NumberOfStaysQF,NumberOfPatients,NumberOfPatientsQF,NumberOfNewPatients,NumberOfNewPatientsQF,AverageNumberOfStaysPerPatient
All alcohol conditions,,d z,SMR01,1981/82,S92000003,d,156.6,138.3,,:,7251,,6433,,,:,1.1
All alcohol conditions,,d z,SMR01,1982/83,S92000003,d,154.4,135.8,,:,7145,,6300,,,:,1.1
All alcohol conditions,,d z,SMR01,1983/84,S92000003,d,170,145.8,,:,7846,,6763,,,:,1.2
All alcohol conditions,,d z,SMR01,1984/85,S92000003,d,184.4,158.3,,:,8577,,7414,,,:,1.2
All alcohol conditions,,d z,SMR01,1985/86,S92000003,d,207,176.9,,:,9534,,8190,,,:,1.2
All alcohol conditions,,d z,SMR01,1986/87,S92000003,d,214.9,183,,:,9939,,8514,,,:,1.2
All alcohol conditions,,d z,SMR01,1987/88,S92000003,d,247.2,208.4,,:,11582,,9839,,,:,1.2
All alcohol conditions,,d z,SMR01,1988/89,S92000003,d,254.6,211.7,,:,11786,,9855,,,:,1.2
All alcohol conditions,,d z,SMR01,1989/90,S92000003,d,271.4,227.4,,:,12604,,10582,,,:,1.2
All alcohol conditions,,d z,SMR01,1990/91,S92000003,d,290.4,241.7,,:,13533,,11306,,,:,1.2
All alcohol conditions,,d z,SMR01,1991/92,S92000003,d,326.6,265.5,179.2,,15157,,12369,,8492,,1.2
All alcohol conditions,,d z,SMR01,1992/93,S92000003,d,368.9,296.8,200.4,,17202,,13912,,9537,,1.2
All alcohol conditions,,d z,SMR01,1993/94,S92000003,d,381.2,305,201,,17759,,14292,,9565,,1.2
All alcohol conditions,,d z,SMR01,1994/95,S92000003,d,427.6,338.8,220.1,,20028,,15917,,10502,,1.3
All alcohol conditions,,d z,SMR01,1995/96,S92000003,d,514,398,256.4,,24161,,18806,,12336,,1.3
All alcohol conditions,,d z,SMR01,1996/97,S92000003,d,584.2,445.9,280.1,,27487,,21070,,13469,,1.3
All alcohol conditions,,d z,SMR01,1997/98,S92000003,d,629.4,471.8,291.7,,29694,,22382,,14089,,1.3
All alcohol conditions,,d z,SMR01,1998/99,S92000003,d,645.1,480.4,288.1,,30565,,22828,,13924,,1.3
All alcohol conditions,,d z,SMR01,1999/00,S92000003,d,686.1,504.1,295,,32591,,24023,,14246,,1.4
All alcohol conditions,,d z,SMR01,2000/01,S92000003,d,677.7,492.1,276.2,,32388,,23547,,13418,,1.4
All alcohol conditions,,d z,SMR01,2001/02,S92000003,d,713.9,515.7,290.6,,34320,,24826,,14173,,1.4
All alcohol conditions,,d z,SMR01,2002/03,S92000003,d,743.3,532.7,295.4,,35916,,25761,,14452,,1.4
All alcohol conditions,,d z,SMR01,2003/04,S92000003,d,740.8,526.9,282.6,,35819,,25464,,13790,,1.4
All alcohol conditions,,d z,SMR01,2004/05,S92000003,d,795.5,555.9,306.5,,38534,,26951,,14974,,1.4
All alcohol conditions,,d z,SMR01,2005/06,S92000003,d,779.5,543.2,290.5,,38279,,26690,,14420,,1.4
All alcohol conditions,,d z,SMR01,2006/07,S92000003,d,809.4,557.7,293.7,,40175,,27681,,14717,,1.5
All alcohol conditions,,d z,SMR01,2007/08,S92000003,d,855.5,578.1,307.6,,43040,,29136,,15688,,1.5
All alcohol conditions,,d z,SMR01,2008/09,S92000003,d,828.1,560.6,290.3,,41981,,28423,,14862,,1.5
All alcohol conditions,,d z,SMR01,2009/10,S92000003,d,771.5,521.2,259.9,,39344,,26597,,13350,,1.5
All alcohol conditions,,d z,SMR01,2010/11,S92000003,d,759.7,510.5,256,,38970,,26244,,13264,,1.5
All alcohol conditions,,d z,SMR01,2011/12,S92000003,d,750,502.3,252.3,,38817,,26049,,13165,,1.5
All alcohol conditions,,d z,SMR01,2012/13,S92000003,d,698.8,469.9,232.4,,36210,,24409,,12134,,1.5
All alcohol conditions,,d z,SMR01,2013/14,S92000003,d,706.6,470.4,232.4,,36726,,24513,,12170,,1.5
All alcohol conditions,,d z,SMR01,2014/15,S92000003,d,676.4,453.6,221.2,,35311,,23709,,11617,,1.5
All alcohol conditions,,d z,SMR01,2015/16,S92000003,d,673.2,450,218.5,,35376,,23656,,11517,,1.5
All alcohol conditions,,d z,SMR01,2016/17,S92000003,d,685.2,455.2,222.3,,36235,,24060,,11777,,1.5
All alcohol conditions,,d z,SMR01,1997/98,S12000033,,702.3,538.5,,:,1449,,1130,,,:,1.3
All alcohol conditions,,d z,SMR01,1997/98,S12000034,,342.4,266.6,,:,754,,589,,,:,1.3
All alcohol conditions,,d z,SMR01,1997/98,S12000041,,332.8,264,,:,356,,283,,,:,1.3
All alcohol conditions,,d z,SMR01,1997/98,S12000035,,755.6,564.8,,:,669,,501,,,:,1.3
All alcohol conditions,,d z,SMR01,1997/98,S12000008,,691.1,530.9,,:,796,,613,,,:,1.3
All alcohol conditions,,d z,SMR01,1997/98,S12000021,,700.7,533,,:,900,,695,,,:,1.3
All alcohol conditions,,d z,SMR01,1997/98,S12000028,,779.4,555,,:,852,,610,,,:,1.4
All alcohol conditions,,d z,SMR01,1997/98,S12000026,,463.7,350.7,,:,469,,354,,,:,1.3
All alcohol conditions,,d z,SMR01,1997/98,S12000005,,473,346,,:,216,,160,,,:,1.4
All alcohol conditions,,d z,SMR01,1997/98,S12000006,,458.4,350.2,,:,663,,505,,,:,1.3
All alcohol conditions,,d z,SMR01,1997/98,S12000045,,341,281.3,,:,347,,285,,,:,1.2
All alcohol conditions,,d z,SMR01,1997/98,S12000039,,606.6,512.8,,:,514,,432,,,:,1.2
All alcohol conditions,,d z,SMR01,1997/98,S12000042,,566,442.7,,:,800,,632,,,:,1.3
All alcohol conditions,,d z,SMR01,1997/98,S12000036,,736.3,507.8,,:,2948,,2057,,,:,1.4
All alcohol conditions,,d z,SMR01,1997/98,S12000014,,338.1,271.9,,:,447,,360,,,:,1.2
All alcohol conditions,,d z,SMR01,1997/98,S12000015,,492.5,384.3,,:,1602,,1269,,,:,1.3
All alcohol conditions,,d z,SMR01,1997/98,S12000046,,1287.8,943.7,,:,6491,,4801,,,:,1.4
All alcohol conditions,,d z,SMR01,1997/98,S12000017,,693.3,531.7,,:,1383,,1064,,,:,1.3
All alcohol conditions,,d z,SMR01,1997/98,S12000018,,948.5,717,,:,764,,580,,,:,1.3
All alcohol conditions,,d z,SMR01,1997/98,S12000044,,429,342.8,,:,1281,,1017,,,:,1.3
All alcohol conditions,,d z,SMR01,1997/98,S12000029,,485.5,379.8,,:,1368,,1069,,,:,1.3
All alcohol conditions,,d z,SMR01,1997/98,S12000010,,439.6,345.7,,:,364,,286,,,:,1.3
All alcohol conditions,,d z,SMR01,1997/98,S12000040,,535.8,410.8,,:,718,,548,,,:,1.3
All alcohol conditions,,d z,SMR01,1997/98,S12000019,,533.7,386,,:,398,,286,,,:,1.4
All alcohol conditions,,d z,SMR01,1997/98,S12000020,,397.4,332.9,,:,325,,274,,,:,1.2
All alcohol conditions,,d z,SMR01,1997/98,S12000013,,972,703.5,,:,261,,190,,,:,1.4
All alcohol conditions,,d z,SMR01,1997/98,S12000023,,584.9,471.8,,:,112,,90,,,:,1.2
All alcohol conditions,,d z,SMR01,1997/98,S12000024,,380.5,293.7,,:,496,,384,,,:,1.3
All alcohol conditions,,d z,SMR01,1997/98,S12000038,,725.2,532.7,,:,1148,,841,,,:,1.4
All alcohol conditions,,d z,SMR01,1997/98,S12000011,,324,243.9,,:,254,,196,,,:,1.3
All alcohol conditions,,d z,SMR01,1997/98,S12000027,,554.4,346.6,,:,119,,75,,,:,1.6
All alcohol conditions,,d z,SMR01,1997/98,S12000030,,490.8,371.7,,:,383,,291,,,:,1.3
All alcohol conditions,,d z,SMR01,1998/99,S12000033,,712.4,524.5,,:,1453,,1079,,,:,1.3
All alcohol conditions,,d z,SMR01,1998/99,S12000034,,322.9,253.8,,:,708,,558,,,:,1.3
All alcohol conditions,,d z,SMR01,1998/99,S12000041,,327.9,263.8,,:,351,,284,,,:,1.2
All alcohol conditions,,d z,SMR01,1998/99,S12000035,,774.9,547.4,,:,689,,487,,,:,1.4
All alcohol conditions,,d z,SMR01,1998/99,S12000008,,688.1,532.2,,:,799,,617,,,:,1.3
All alcohol conditions,,d z,SMR01,1998/99,S12000021,,702.2,543.6,,:,891,,694,,,:,1.3
All alcohol conditions,,d z,SMR01,1998/99,S12000028,,842.4,586.7,,:,922,,642,,,:,1.4
All alcohol conditions,,d z,SMR01,1998/99,S12000026,,456.7,334,,:,462,,339,,,:,1.4
All alcohol conditions,,d z,SMR01,1998/99,S12000005,,634.8,425.2,,:,284,,192,,,:,1.5
All alcohol conditions,,d z,SMR01,1998/99,S12000006,,509.6,383.1,,:,732,,549,,,:,1.3
All alcohol conditions,,d z,SMR01,1998/99,S12000045,,405.7,308.5,,:,419,,316,,,:,1.3
All alcohol conditions,,d z,SMR01,1998/99,S12000039,,695.8,526.1,,:,588,,446,,,:,1.3
All alcohol conditions,,d z,SMR01,1998/99,S12000042,,583.7,463.6,,:,816,,654,,,:,1.2
All alcohol conditions,,d z,SMR01,1998/99,S12000036,,754.2,533.2,,:,3037,,2151,,,:,1.4
All alcohol conditions,,d z,SMR01,1998/99,S12000014,,377.6,309.8,,:,514,,422,,,:,1.2
